MACID,PARTNUM,REVISION,WORKNO,LINEID,OPERTOR,BARCODE,TRESULT,TESTDATE,TESTTIME,FL01,FL02,FL03,FL04,FL05,FL06,FL07,FL08,FL09,FL10,SDATE,STIME,ITSDATE,ITSTIME,FPATH
YM98R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,210235,X758FlexShorted,20170721,210100,763789,ST_B1_B13,0,0,L62,1,,20170721,210235,20170721,210101,FHAPCE7/20170721D/YM98R/OQC_FLEX_POR_AutoAlign_tester763789_4.0.0_D_0.csv
YM102R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,210332,X758FlexShorted,20170721,210205,763746,ST_B1_B13,0,0,L62,1,,20170721,210332,20170721,210206,FHAPCE7/20170721N/YM102R/OQC_FLEX_POR_AutoAlign_tester763746_4.0.0_N_0.csv
YM103L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,204903,X758FlexShorted,20170721,204811,764660,ST_B1_B13,0,0,L59,0,,20170721,204903,20170721,204813,FHAPCE7/20170721D/YM103L/OQC_FLEX_POR_AutoAlign_tester764660_4.0.0_D_0.csv
YM75L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,204943,X758FlexShorted,20170721,204846,764138,ST_B1_B13,0,0,L59,0,,20170721,204943,20170721,204847,FHAPCE7/20170721D/YM75L/OQC_FLEX_POR_AutoAlign_tester764138_4.0.0_D_0.csv
YM75R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,205058,X758FlexShorted,20170721,204956,763859,ST_B1_B13,0,0,L59,0,,20170721,205058,20170721,204957,FHAPCE7/20170721D/YM75R/OQC_FLEX_POR_AutoAlign_tester763859_4.0.0_D_0.csv
YM103R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,204832,X758FlexShorted,20170721,204741,764501,ST_B1_B13,0,0,L59,0,,20170721,204832,20170721,204742,FHAPCE7/20170721D/YM103R/OQC_FLEX_POR_AutoAlign_tester764501_4.0.0_D_0.csv
YM102L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,210302,X758FlexShorted,20170721,210134,764239,ST_B1_B13,0,0,L62,1,,20170721,210302,20170721,210136,FHAPCE7/20170721D/YM102L/OQC_FLEX_POR_AutoAlign_tester764239_4.0.0_D_0.csv
YM95L,FHAPCE7,,test,Z24-13,F1111112,G5Y7261QETRJ25X9GZY1,FAIL,20170722,204517,X758FlexShorted,20170722,221314,764593,ST_B1_B13,0,0,L60,0,,20170722,204517,20170722,221315,FHAPCE7/20170722N/YM95L/OQC_FLEX_POR_AutoAlign_tester764593_4.0.0_N_0.csv
YM96L,FHAPCE7,,test,Z24-13,F1111112,G5Y7261QETRJ25X9GZY1,FAIL,20170722,204406,X758FlexShorted,20170722,221252,764621,ST_B1_B13,0,0,L60,0,,20170722,204406,20170722,221253,FHAPCE7/20170722N/YM96L/OQC_FLEX_POR_AutoAlign_tester764621_4.0.0_N_0.csv
YM95R,FHAPCE7,,test,Z24-13,F1111112,G5Y7261QETRJ25X9GZY1,FAIL,20170722,204322,X758FlexShorted,20170722,221313,763580,ST_B1_B13,0,0,L60,0,,20170722,204322,20170722,221313,FHAPCE7/20170722N/YM95R/OQC_FLEX_POR_AutoAlign_tester763580_4.0.0_N_0.csv
YM96R,FHAPCE7,,test,Z24-13,F1111112,G5Y7261QETRJ25X9GZY1,FAIL,20170722,204315,X758FlexShorted,20170722,221255,764803,ST_B1_B13,0,0,L60,0,,20170722,204315,20170722,221256,FHAPCE7/20170722N/YM96R/OQC_FLEX_POR_AutoAlign_tester764803_4.0.0_N_0.csv
YM102R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,85604,X758FlexShorted,20170720,85432,763746,ST_B1_B13,0,0,L62,1,,20170720,85604,20170720,85433,FHAPCE7/20170719N/YM102R/OQC_FLEX_POR_AutoAlign_tester763746_4.0.0_N_0.csv
YM64R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,84141,X758FlexShorted,20170720,84053,763888,ST_B1_B13,0,0,L39,0,,20170720,84141,20170720,84054,FHAPCE7/20170719N/YM64R/OQC_FLEX_POR_AutoAlign_tester763888_4.0.0_N_0.csv
YM69R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,84230,X758FlexShorted,20170720,84247,763827,ST_B1_B13,0,0,L39,0,,20170720,84230,20170720,84248,FHAPCE7/20170720D/YM69R/OQC_FLEX_POR_AutoAlign_tester763827_4.0.0_D_0.csv
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,84038,X758FlexShorted,20170720,83951,763495,ST_B1_B13,0,0,L39,0,,20170720,84038,20170720,83953,FHAPCE7/20170719N/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_N_0.csv
YM102L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,85635,X758FlexShorted,20170720,85454,764239,ST_B1_B13,0,0,L62,1,,20170720,85635,20170720,85456,FHAPCE7/20170720D/YM102L/OQC_FLEX_POR_AutoAlign_tester764239_4.0.0_D_0.csv
YM69L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,83909,X758FlexShorted,20170720,83922,763964,ST_B1_B13,0,0,L39,0,,20170720,83909,20170720,83922,FHAPCE7/20170719N/YM69L/OQC_FLEX_POR_AutoAlign_tester763964_4.0.0_N_0.csv
YM75R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,83609,X758FlexShorted,20170720,83503,763859,ST_B1_B13,0,0,L59,0,,20170720,83609,20170720,83504,FHAPCE7/20170720D/YM75R/OQC_FLEX_POR_AutoAlign_tester763859_4.0.0_D_0.csv
YM98L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,85711,X758FlexShorted,20170720,85534,763824,ST_B1_B13,0,0,L62,2,,20170720,85711,20170720,85534,FHAPCE7/20170719N/YM98L/OQC_FLEX_POR_AutoAlign_tester763824_4.0.0_N_0.csv
YM98R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,85839,X758FlexShorted,20170720,85704,763789,ST_B1_B13,0,0,L62,2,,20170720,85839,20170720,85705,FHAPCE7/20170719N/YM98R/OQC_FLEX_POR_AutoAlign_tester763789_4.0.0_N_0.csv
YM05R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,202908,X758FlexShorted,20170721,202952,762943,ST_B1_B13,0,0,L4,1,,20170721,202908,20170721,202953,FHAPCE7/20170721D/YM05R/OQC_FLEX_POR_AutoAlign_tester762943_4.0.0_D_0.csv
YM05L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170721,202633,X758FlexShorted,20170721,202718,762966,ST_B1_B13,0,0,L4,0,,20170721,202633,20170721,202719,FHAPCE7/20170721D/YM05L/OQC_FLEX_POR_AutoAlign_tester762966_4.0.0_D_0.csv
YM64R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,211429,X758FlexShorted,20170722,211349,763888,OT_H9,0,0,L39,0,,20170722,211429,20170722,211349,FHAPCE7/20170722D/YM64R/OQC_FLEX_POR_AutoAlign_tester763888_4.0.0_D_0.csv
YM67L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,210417,X758FlexShorted,20170722,215214,763941,ST_B1_B13,0,0,L37,0,,20170722,210417,20170722,215217,FHAPCE7/20170722N/YM67L/OQC_FLEX_POR_AutoAlign_tester763941_4.0.0_N_0.csv
YM73L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,210346,X758FlexShorted,20170722,215208,763767,ST_B1_B13,0,0,L37,0,,20170722,210346,20170722,215210,FHAPCE7/20170722N/YM73L/OQC_FLEX_POR_AutoAlign_tester763767_4.0.0_N_0.csv
YM73R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,210210,X758FlexShorted,20170722,215224,763787,ST_B1_B13,0,0,L37,0,,20170722,210210,20170722,215225,FHAPCE7/20170722N/YM73R/OQC_FLEX_POR_AutoAlign_tester763787_4.0.0_N_0.csv
YM67R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,210140,X758FlexShorted,20170722,215204,763659,ST_B1_B13,0,0,L37,0,,20170722,210140,20170722,215205,FHAPCE7/20170722N/YM67R/OQC_FLEX_POR_AutoAlign_tester763659_4.0.0_N_0.csv
YM69R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,211130,X758FlexShorted,20170722,211151,763827,ST_B1_B13,0,0,L39,0,,20170722,211130,20170722,211152,FHAPCE7/20170722D/YM69R/OQC_FLEX_POR_AutoAlign_tester763827_4.0.0_D_0.csv
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,211330,X758FlexShorted,20170722,211248,763495,ST_B1_B13,0,0,L39,0,,20170722,211330,20170722,211248,FHAPCE7/20170722D/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_D_0.csv
YM69L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170722,211203,X758FlexShorted,20170722,211224,763964,ST_B1_B13,0,0,L39,0,,20170722,211203,20170722,211225,FHAPCE7/20170722N/YM69L/OQC_FLEX_POR_AutoAlign_tester763964_4.0.0_N_0.csv
YM69R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170718,213712,X758FlexShorted,20170719,93657,763827,ST_B1_B12,0,0,L39,,,20170718,213712,20170719,93659,FHAPCE7/20170719D/YM69R/OQC_FLEX_POR_AutoAlign_tester763827_4.0.0_D_0.csv
YM64R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170719,92126,X758FlexShorted,20170719,92033,763888,ST_B1_B13,1,0,L39,,,20170719,92126,20170719,92035,FHAPCE7/20170719D/YM64R/OQC_FLEX_POR_AutoAlign_tester763888_4.0.0_D_0.csv
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170719,92056,X758FlexShorted,20170719,92002,763495,ST_B1_B13,0,0,L39,,,20170719,92056,20170719,92004,FHAPCE7/20170719D/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_D_0.csv
YM69L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170718,212119,X758FlexShorted,20170719,92103,763964,ST_B1_B13,0,0,L39,,,20170718,212119,20170719,92104,FHAPCE7/20170719D/YM69L/OQC_FLEX_POR_AutoAlign_tester763964_4.0.0_D_0.csv
YM75L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,83455,X758FlexShorted,20170720,83349,764138,ST_B1_B13,0,0,L59,0,,20170720,83455,20170720,83350,FHAPCE7/20170719N/YM75L/OQC_FLEX_POR_AutoAlign_tester764138_4.0.0_N_0.csv
YM67R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,82318,X758FlexShorted,20170720,82410,763659,ST_B1_B13,0,0,L37,0,,20170720,82318,20170720,82411,FHAPCE7/20170719N/YM67R/OQC_FLEX_POR_AutoAlign_tester763659_4.0.0_N_0.csv
YM103R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,83343,X758FlexShorted,20170720,83246,764501,ST_B1_B13,0,0,L59,0,,20170720,83343,20170720,83247,FHAPCE7/20170720D/YM103R/OQC_FLEX_POR_AutoAlign_tester764501_4.0.0_D_0.csv
YM73L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,82258,X758FlexShorted,20170720,82338,763767,ST_B1_B13,0,0,L37,0,,20170720,82258,20170720,82338,FHAPCE7/20170719N/YM73L/OQC_FLEX_POR_AutoAlign_tester763767_4.0.0_N_0.csv
YM67L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,82354,X758FlexShorted,20170720,82442,763941,ST_B1_B13,0,0,L37,0,,20170720,82354,20170720,82442,FHAPCE7/20170719N/YM67L/OQC_FLEX_POR_AutoAlign_tester763941_4.0.0_N_0.csv
YM103L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,83416,X758FlexShorted,20170720,83316,764660,ST_B1_B13,0,0,L59,0,,20170720,83416,20170720,83318,FHAPCE7/20170719N/YM103L/OQC_FLEX_POR_AutoAlign_tester764660_4.0.0_N_0.csv
YM05R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,80547,X758FlexShorted,20170720,80636,762943,ST_B1_B13,0,0,L4,4,,20170720,80547,20170720,80637,FHAPCE7/20170719N/YM05R/OQC_FLEX_POR_AutoAlign_tester762943_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,81624,X758FlexShorted,20170720,81556,763248,ST_B1_B13,0,0,L38,0,,20170720,81624,20170720,81557,FHAPCE7/20170720D/tester/OQC_FLEX_POR_AutoAlign_tester763248_4.0.0_D_0.csv
YM05L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,80714,X758FlexShorted,20170720,80757,762966,ST_B1_B13,0,0,L4,4,,20170720,80714,20170720,80758,FHAPCE7/20170719N/YM05L/OQC_FLEX_POR_AutoAlign_tester762966_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,81550,X758FlexShorted,20170720,81516,763499,ST_B1_B13,0,0,L38,0,,20170720,81550,20170720,81517,FHAPCE7/20170719N/tester/OQC_FLEX_POR_AutoAlign_tester763499_4.0.0_N_0.csv
YM58L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,81636,X758FlexShorted,20170720,81641,764244,ST_B1_B13,0,0,L38,0,,20170720,81636,20170720,81642,FHAPCE7/20170720D/YM58L/OQC_FLEX_POR_AutoAlign_tester764244_4.0.0_D_0.csv
YM73R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,82222,X758FlexShorted,20170720,82257,763787,ST_B1_B13,0,0,L37,0,,20170720,82222,20170720,82257,FHAPCE7/20170719N/YM73R/OQC_FLEX_POR_AutoAlign_tester763787_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170720,81709,X758FlexShorted,20170720,81713,763675,ST_B1_B13,0,0,L38,0,,20170720,81709,20170720,81713,FHAPCE7/20170719N/tester/OQC_FLEX_POR_AutoAlign_tester763675_4.0.0_N_0.csv
YM73L,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170719,81049,X758FlexShorted,20170719,81120,763767,ST_B1_B13,86,96.51,L37,,,20170719,81049,20170719,81120,FHAPCE7/20170718N/YM73L/OQC_FLEX_POR_AutoAlign_tester763767_4.0.0_N_0.csv
YM03R,FHAPCE7,,test,Z24-109,F6662560,G5Y7261QETRJ25X9GZY1,FAIL,20170719,85939,X758FlexShorted,20170719,90939,762960,ST_B1_B13,0,0,L4,,,20170719,85939,20170719,90940,FHAPCE7/20170719D/YM03R/OQC_FLEX_POR_AutoAlign_tester762960_4.0.0_D_0.csv
